12번째: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
8번째: precision=0.3333, recall=0.3000, f1-score=0.3158, support=10.0000
가깝다: precision=0.8182, recall=0.9000, f1-score=0.8571, support=10.0000
가능: precision=0.3590, recall=0.7000, f1-score=0.4746, support=20.0000
가다: precision=0.8636, recall=0.9500, f1-score=0.9048, support=40.0000
가래떡: precision=1.0000, recall=0.8000, f1-score=0.8889, support=10.0000
가렵다: precision=0.9000, recall=0.9000, f1-score=0.9000, support=10.0000
가르다: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
가만히: precision=0.8333, recall=1.0000, f1-score=0.9091, support=10.0000
가명: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
가쁘다: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
가소롭다: precision=1.0000, recall=1.0000, f1-score=1.0000, support=8.0000
가엾다: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
가족회의: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
가죽신: precision=0.9000, recall=0.9000, f1-score=0.9000, support=10.0000
가평군수어통역센터: precision=0.6667, recall=1.0000, f1-score=0.8000, support=10.0000
가평군지부: precision=0.7143, recall=1.0000, f1-score=0.8333, support=10.0000
각오: precision=0.6923, recall=0.9000, f1-score=0.7826, support=10.0000
간: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
간편: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
간호사: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
갈등: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
갈색: precision=0.8500, recall=0.8500, f1-score=0.8500, support=20.0000
감금: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
감기: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
감나무: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
감동: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
감옥: precision=0.8696, recall=1.0000, f1-score=0.9302, support=20.0000
감옥살이: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
갑부: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
강: precision=0.8750, recall=0.7000, f1-score=0.7778, support=10.0000
강남: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
강남구수어통역센터: precision=0.6154, recall=0.8000, f1-score=0.6957, support=10.0000
강남구지부: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
강남구청: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
강동구수어통역센터: precision=0.8889, recall=0.8000, f1-score=0.8421, support=10.0000
강동구주민지원센터: precision=0.8182, recall=0.9000, f1-score=0.8571, support=10.0000
강릉: precision=0.6000, recall=0.3000, f1-score=0.4000, support=10.0000
강릉시지부: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
강릉시청: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
강북: precision=0.7692, recall=1.0000, f1-score=0.8696, support=10.0000
강북구수어통역센터: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
강북구지부: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
강서: precision=0.8000, recall=0.8000, f1-score=0.8000, support=10.0000
강서구수어통역센터: precision=0.8000, recall=0.4000, f1-score=0.5333, support=10.0000
강서구주민지원센터: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
강서구지부: precision=1.0000, recall=0.6000, f1-score=0.7500, support=10.0000
강약: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
강요: precision=0.5882, recall=0.5000, f1-score=0.5405, support=20.0000
강원도청: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
강진군수어통역센터: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
강철: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
강풍: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
강화군수어통역센터: precision=0.7143, recall=1.0000, f1-score=0.8333, support=10.0000
강화군주민지원센터: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
강화군지부: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
개학: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
거만: precision=0.9032, recall=0.9333, f1-score=0.9180, support=30.0000
거슬리다: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
