가능: precision=0.6000, recall=0.9000, f1-score=0.7200, support=20.0000
가다: precision=0.9250, recall=0.9250, f1-score=0.9250, support=40.0000
가엾다: precision=1.0000, recall=0.7000, f1-score=0.8235, support=10.0000
갈색: precision=0.9048, recall=0.9500, f1-score=0.9268, support=20.0000
감옥: precision=0.8696, recall=1.0000, f1-score=0.9302, support=20.0000
강약: precision=0.9000, recall=0.9000, f1-score=0.9000, support=10.0000
강요: precision=0.8333, recall=1.0000, f1-score=0.9091, support=20.0000
강화군수어통역센터: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
거만: precision=0.8966, recall=0.8667, f1-score=0.8814, support=30.0000
거지: precision=1.0000, recall=1.0000, f1-score=1.0000, support=30.0000
검사: precision=0.9000, recall=0.9000, f1-score=0.9000, support=20.0000
검정머리: precision=1.0000, recall=0.7000, f1-score=0.8235, support=10.0000
격노: precision=0.9643, recall=0.9000, f1-score=0.9310, support=30.0000
결승전: precision=1.0000, recall=0.8500, f1-score=0.9189, support=20.0000
결심: precision=0.9286, recall=0.9750, f1-score=0.9512, support=40.0000
결점: precision=0.9444, recall=0.8500, f1-score=0.8947, support=40.0000
겸임: precision=0.7308, recall=0.9500, f1-score=0.8261, support=20.0000
경기도: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
경남농아인협회: precision=1.0000, recall=1.0000, f1-score=1.0000, support=20.0000
경주시수어통역센터: precision=1.0000, recall=0.6000, f1-score=0.7500, support=15.0000
고성군주민지원센터: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
고성시수어통역센터: precision=0.9000, recall=0.9000, f1-score=0.9000, support=10.0000
고조할아버지: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
공범: precision=1.0000, recall=1.0000, f1-score=1.0000, support=15.0000
공식: precision=1.0000, recall=0.9500, f1-score=0.9744, support=20.0000
과로: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
교기: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
구조: precision=0.8421, recall=0.8000, f1-score=0.8205, support=20.0000
군산시청: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
군포시청: precision=0.7143, recall=1.0000, f1-score=0.8333, support=10.0000
귀엽다: precision=0.6190, recall=0.6500, f1-score=0.6341, support=20.0000
근근이: precision=0.9302, recall=1.0000, f1-score=0.9639, support=40.0000
금정구수어통역센터: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
급하다: precision=0.7619, recall=0.8000, f1-score=0.7805, support=20.0000
기피하다: precision=0.9412, recall=0.8000, f1-score=0.8649, support=20.0000
꺼지다: precision=0.9107, recall=0.8500, f1-score=0.8793, support=60.0000
끊다: precision=0.6667, recall=0.9333, f1-score=0.7778, support=15.0000
나: precision=0.8889, recall=0.8000, f1-score=0.8421, support=10.0000
난감하다: precision=0.9000, recall=0.9000, f1-score=0.9000, support=20.0000
내뱉다: precision=1.0000, recall=0.9667, f1-score=0.9831, support=30.0000
놀랍다: precision=1.0000, recall=1.0000, f1-score=1.0000, support=30.0000
눈: precision=0.8125, recall=0.6500, f1-score=0.7222, support=20.0000
달변: precision=0.8000, recall=0.8000, f1-score=0.8000, support=20.0000
당황: precision=0.8000, recall=1.0000, f1-score=0.8889, support=20.0000
대들다: precision=0.8571, recall=0.9000, f1-score=0.8780, support=20.0000
대물림: precision=0.8000, recall=1.0000, f1-score=0.8889, support=20.0000
대박: precision=0.8636, recall=0.9500, f1-score=0.9048, support=20.0000
대출: precision=0.9677, recall=1.0000, f1-score=0.9836, support=30.0000
더디다: precision=0.9048, recall=0.9500, f1-score=0.9268, support=20.0000
독특: precision=1.0000, recall=0.7500, f1-score=0.8571, support=20.0000
돕다: precision=0.9032, recall=0.9333, f1-score=0.9180, support=30.0000
동구지부: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
