가능: precision=0.8571, recall=0.9000, f1-score=0.8780, support=20.0000
가다: precision=0.9250, recall=0.9250, f1-score=0.9250, support=40.0000
가엾다: precision=1.0000, recall=0.7000, f1-score=0.8235, support=10.0000
갈색: precision=1.0000, recall=0.9000, f1-score=0.9474, support=20.0000
감옥: precision=0.8696, recall=1.0000, f1-score=0.9302, support=20.0000
강요: precision=0.8889, recall=0.8000, f1-score=0.8421, support=20.0000
강화군수어통역센터: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
거만: precision=0.8710, recall=0.9000, f1-score=0.8852, support=30.0000
거지: precision=1.0000, recall=1.0000, f1-score=1.0000, support=30.0000
검사: precision=0.9048, recall=0.9500, f1-score=0.9268, support=20.0000
격노: precision=0.9655, recall=0.9333, f1-score=0.9492, support=30.0000
결승전: precision=1.0000, recall=0.8500, f1-score=0.9189, support=20.0000
결심: precision=0.9750, recall=0.9750, f1-score=0.9750, support=40.0000
결점: precision=0.9189, recall=0.8500, f1-score=0.8831, support=40.0000
겸임: precision=0.8636, recall=0.9500, f1-score=0.9048, support=20.0000
경남농아인협회: precision=1.0000, recall=1.0000, f1-score=1.0000, support=20.0000
경주시수어통역센터: precision=1.0000, recall=0.8000, f1-score=0.8889, support=15.0000
공범: precision=0.9375, recall=1.0000, f1-score=0.9677, support=15.0000
공식: precision=1.0000, recall=0.9500, f1-score=0.9744, support=20.0000
구조: precision=0.8333, recall=0.7500, f1-score=0.7895, support=20.0000
군산시청: precision=0.8333, recall=1.0000, f1-score=0.9091, support=10.0000
귀엽다: precision=0.6000, recall=0.7500, f1-score=0.6667, support=20.0000
근근이: precision=1.0000, recall=0.9750, f1-score=0.9873, support=40.0000
금정구수어통역센터: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
급하다: precision=0.8500, recall=0.8500, f1-score=0.8500, support=20.0000
기피하다: precision=0.9500, recall=0.9500, f1-score=0.9500, support=20.0000
꺼지다: precision=0.8983, recall=0.8833, f1-score=0.8908, support=60.0000
끊다: precision=0.6500, recall=0.8667, f1-score=0.7429, support=15.0000
난감하다: precision=0.8947, recall=0.8500, f1-score=0.8718, support=20.0000
내뱉다: precision=0.9667, recall=0.9667, f1-score=0.9667, support=30.0000
놀랍다: precision=0.9655, recall=0.9333, f1-score=0.9492, support=30.0000
눈: precision=0.7308, recall=0.9500, f1-score=0.8261, support=20.0000
달변: precision=0.8333, recall=0.7500, f1-score=0.7895, support=20.0000
당황: precision=0.7826, recall=0.9000, f1-score=0.8372, support=20.0000
대들다: precision=0.8333, recall=1.0000, f1-score=0.9091, support=20.0000
대물림: precision=0.8333, recall=1.0000, f1-score=0.9091, support=20.0000
대박: precision=0.9474, recall=0.9000, f1-score=0.9231, support=20.0000
대출: precision=0.9677, recall=1.0000, f1-score=0.9836, support=30.0000
더디다: precision=1.0000, recall=1.0000, f1-score=1.0000, support=20.0000
독특: precision=1.0000, recall=0.7500, f1-score=0.8571, support=20.0000
돕다: precision=0.8788, recall=0.9667, f1-score=0.9206, support=30.0000
동구지부: precision=0.9000, recall=0.9000, f1-score=0.9000, support=10.0000
동상이몽: precision=0.9474, recall=0.9000, f1-score=0.9231, support=20.0000
들키다: precision=0.9375, recall=1.0000, f1-score=0.9677, support=15.0000
똑똑하다: precision=1.0000, recall=0.9500, f1-score=0.9744, support=20.0000
뛰어나다: precision=1.0000, recall=1.0000, f1-score=1.0000, support=20.0000
뜻밖: precision=0.9412, recall=0.8000, f1-score=0.8649, support=20.0000
마포구수어통역센터: precision=1.0000, recall=0.8000, f1-score=0.8889, support=10.0000
막히다: precision=0.8810, recall=0.9250, f1-score=0.9024, support=40.0000
맞다: precision=0.8788, recall=0.9667, f1-score=0.9206, support=30.0000
맥없다: precision=0.9286, recall=0.8667, f1-score=0.8966, support=30.0000
맹세: precision=1.0000, recall=0.9000, f1-score=0.9474, support=20.0000
