가능: precision=0.7619, recall=0.8000, f1-score=0.7805, support=20.0000
가다: precision=0.9231, recall=0.9000, f1-score=0.9114, support=40.0000
가르다: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
가엾다: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
간호사: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
갈색: precision=0.7895, recall=0.7500, f1-score=0.7692, support=20.0000
감금: precision=1.0000, recall=0.6000, f1-score=0.7500, support=10.0000
감나무: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
감옥: precision=0.9091, recall=1.0000, f1-score=0.9524, support=20.0000
강남구청: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
강동구수어통역센터: precision=0.7692, recall=1.0000, f1-score=0.8696, support=10.0000
강릉: precision=0.9000, recall=0.9000, f1-score=0.9000, support=10.0000
강북구지부: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
강서구수어통역센터: precision=0.7692, recall=1.0000, f1-score=0.8696, support=10.0000
강약: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
강요: precision=0.6471, recall=0.5500, f1-score=0.5946, support=20.0000
강화군수어통역센터: precision=0.6667, recall=1.0000, f1-score=0.8000, support=10.0000
강화군지부: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
거만: precision=0.8788, recall=0.9667, f1-score=0.9206, support=30.0000
거지: precision=0.9375, recall=1.0000, f1-score=0.9677, support=30.0000
걸스카우트: precision=1.0000, recall=0.4000, f1-score=0.5714, support=10.0000
걸음걸이: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
검사: precision=1.0000, recall=0.9500, f1-score=0.9744, support=20.0000
검정머리: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
겨드랑이: precision=0.5714, recall=0.8000, f1-score=0.6667, support=10.0000
격노: precision=0.9630, recall=0.8667, f1-score=0.9123, support=30.0000
견문: precision=0.7692, recall=1.0000, f1-score=0.8696, support=10.0000
견습소: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
결벽: precision=1.0000, recall=0.8000, f1-score=0.8889, support=10.0000
결승전: precision=1.0000, recall=0.9500, f1-score=0.9744, support=20.0000
결심: precision=0.9302, recall=1.0000, f1-score=0.9639, support=40.0000
결점: precision=0.8919, recall=0.8250, f1-score=0.8571, support=40.0000
겸임: precision=0.7917, recall=0.9500, f1-score=0.8636, support=20.0000
경기도: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
경남농아인협회: precision=1.0000, recall=1.0000, f1-score=1.0000, support=20.0000
경로당: precision=1.0000, recall=0.7000, f1-score=0.8235, support=10.0000
경주시수어통역센터: precision=1.0000, recall=0.6000, f1-score=0.7500, support=15.0000
계약금: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
고성군주민지원센터: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
고성시수어통역센터: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
고양시수어통역센터: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
고양시지부: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
고용: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
고조할아버지: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
고창군수어통역센터: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
골절: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
공범: precision=1.0000, recall=0.8667, f1-score=0.9286, support=15.0000
